# Timestamp, Latitude, Longitude, Accuracy, Speed
#Journey Start
1436403944241,-36.90923597,174.89833436,14.0,0.25
1436403945234,-36.90926457,174.89836556,28.0,0.0
1436403946222,-36.90953189,174.89797001,18.0,0.0
1436403947212,-36.90947193,174.89799998,11.0,1.118034
1436403948506,-36.90951421,174.89797919,10.0,1.0
1436403949497,-36.90948719,174.89797395,10.0,1.0
1436403950515,-36.90946579,174.89799139,10.0,1.0
1436403951503,-36.90946441,174.89798891,10.0,1.0
1436403952508,-36.90946453,174.89799388,10.0,1.0
1436403953511,-36.90946684,174.89799395,10.0,1.0
1436403954521,-36.90946868,174.89799243,10.0,1.0
1436403955513,-36.90947872,174.89799171,10.0,1.0
1436403956512,-36.90947437,174.89798438,10.0,1.0
1436403957502,-36.90947482,174.8979843,10.0,1.0
1436403958505,-36.90947421,174.89798428,10.0,1.0
1436403959507,-36.90947407,174.89798776,10.0,1.0
1436403960517,-36.9094739,174.89798747,10.0,1.0
1436403961507,-36.90947383,174.89798759,11.0,1.0
1436403962534,-36.90947382,174.89798755,11.0,1.0
1436403963500,-36.9094705,174.89798524,11.0,1.25
1436403964505,-36.90947515,174.89798013,10.0,1.4142135
1436403965510,-36.90945917,174.89797897,11.0,1.4142135
1436403966511,-36.90944825,174.89798641,11.0,1.4142135
1436403967532,-36.90944954,174.89798368,11.0,1.25
1436403968507,-36.90945073,174.89797788,11.0,1.25
1436403969513,-36.90943531,174.89797257,11.0,1.25
1436403970509,-36.90943084,174.8979537,10.0,1.118034
1436403971502,-36.90944308,174.89794334,9.0,1.118034
1436403972494,-36.90945612,174.8979263,10.0,1.0
1436403973517,-36.9094515,174.89792586,9.0,1.0
1436403974523,-36.90944692,174.89793081,9.0,1.0
1436403975495,-36.90944339,174.89793344,10.0,1.25
1436403976511,-36.90943819,174.89793496,9.0,1.4142135
1436403977503,-36.90943143,174.89793926,10.0,1.4142135
1436403978509,-36.9094225,174.89793841,11.0,1.6007811
1436403979505,-36.90940613,174.89794154,11.0,1.8027756
1436403980516,-36.90939339,174.89796279,11.0,2.0155644
1436403981525,-36.90937894,174.89800004,11.0,3.1622777
1436403982506,-36.90936944,174.89803864,11.0,3.1622777
1436403983507,-36.9093528,174.89807896,11.0,3.4003677
1436403984500,-36.90932622,174.89812852,11.0,3.8810437
1436403985519,-36.90927308,174.89824491,11.0,4.854122
1436403986513,-36.90925043,174.89828448,11.0,4.366062
1436403987504,-36.9092652,174.89825617,10.0,1.8027756
1436403988497,-36.90925089,174.89824308,10.0,1.25
1436403989511,-36.90925114,174.89826369,9.0,1.8027756
1436403990548,-36.90924024,174.89827603,9.0,2.236068
1436403992238,-36.90923448,174.89829108,9.0,2.6925824
1436403992510,-36.90918938,174.89827671,9.0,3.4003677
1436403993512,-36.90914838,174.89825981,9.0,5.3443894
1436403994522,-36.90908856,174.8982176,9.0,7.566373
1436403995549,-36.90901121,174.89817106,9.0,9.552486
1436403996505,-36.90892308,174.89811945,9.0,10.7964115
1436403997511,-36.90882924,174.89807095,9.0,12.0415945
1436403998503,-36.90871572,174.89799438,9.0,13.287683
1436403999499,-36.90859829,174.89791588,9.0,13.786316
1436404000512,-36.9084905,174.89784144,9.0,14.285045
1436404001694,-36.90837774,174.89776739,9.0,14.783859
1436404002509,-36.90825256,174.89768305,9.0,15.282752
1436404003503,-36.90811771,174.89760463,9.0,15.532225
1436404004503,-36.90799336,174.89752509,10.0,15.532225
1436404005496,-36.90786866,174.89745602,10.0,15.532225
1436404006495,-36.90774604,174.89736418,9.0,15.781714
1436404007501,-36.90762395,174.89729371,10.0,15.781714
1436404009969,-36.90737186,174.89712379,9.0,16.03122
1436404010505,-36.90725257,174.89702986,10.0,15.781714
1436404011502,-36.90712256,174.89694118,9.0,15.781714
1436404012511,-36.90699243,174.89685819,9.0,15.781714
1436404013490,-36.90687752,174.8967661,10.0,15.781714
1436404014505,-36.90675535,174.89666775,10.0,16.03122
1436404015507,-36.90662156,174.89657345,10.0,16.03122
1436404016495,-36.90649417,174.89648557,10.0,16.03122
1436404017496,-36.90637541,174.89639861,10.0,16.03122
1436404018504,-36.90624677,174.89631491,10.0,15.781714
1436404019508,-36.90611589,174.8962343,10.0,15.781714
1436404020498,-36.90599368,174.8961562,10.0,15.781714
1436404021496,-36.90587769,174.89608208,10.0,15.781714
1436404022515,-36.90575949,174.89599263,10.0,15.781714
1436404024430,-36.90563361,174.8959216,10.0,15.532225
1436404024820,-36.90551142,174.89584063,10.0,15.532225
1436404025520,-36.9053974,174.89575714,10.0,15.282752
1436404026513,-36.9052764,174.89567189,10.0,15.282752
1436404027504,-36.90515407,174.89557828,9.0,15.282752
1436404028509,-36.90503043,174.89548832,9.0,15.282752
1436404029499,-36.90490902,174.89540127,10.0,15.532225
1436404030507,-36.90478741,174.89531223,9.0,15.532225
1436404031508,-36.90465471,174.89521712,9.0,15.282752
1436404032495,-36.90455125,174.89512782,9.0,15.033297
1436404033499,-36.90446261,174.89503675,9.0,14.285045
1436404034499,-36.90436532,174.89493444,10.0,14.035668
1436404035497,-36.90426334,174.89483122,9.0,13.786316
1436404036509,-36.90417451,174.89474702,9.0,12.789156
1436404037488,-36.90410931,174.89467641,9.0,10.7964115
1436404038497,-36.90404595,174.8946062,10.0,9.055386
1436404039529,-36.90399937,174.89453318,10.0,8.310385
1436404040519,-36.90398936,174.89443402,10.0,8.310385
1436404041521,-36.9040091,174.89434213,9.0,8.310385
1436404042487,-36.90403262,174.89426991,10.0,8.806957
1436404043505,-36.90408458,174.89414535,9.0,11.543396
1436404044535,-36.90414028,174.89400798,9.0,13.287683
1436404045504,-36.90421308,174.89384882,9.0,14.534442
1436404046493,-36.9042857,174.89368688,9.0,15.532225
1436404047558,-36.90436054,174.8935271,9.0,16.03122
1436404048488,-36.90443377,174.89335881,9.0,16.530275
1436404049488,-36.90449717,174.89319556,9.0,17.029387
1436404050507,-36.90457318,174.89303362,9.0,17.278961
1436404051534,-36.90465163,174.89286089,9.0,17.029387
1436404052499,-36.90472329,174.89268695,9.0,17.029387
1436404053518,-36.90480092,174.89251846,9.0,17.278961
1436404054496,-36.90487856,174.89234761,9.0,17.278961
1436404055489,-36.90495104,174.89217783,9.0,17.029387
1436404056489,-36.90502871,174.89201244,9.0,17.029387
1436404057526,-36.90509875,174.89184339,9.0,17.278961
1436404058486,-36.90516878,174.89166752,9.0,17.278961
1436404059508,-36.90524132,174.89148414,9.0,17.528547
1436404061264,-36.90531107,174.89131275,9.0,17.528547
1436404061512,-36.90537143,174.89114669,9.0,17.278961
1436404062493,-36.9054444,174.89095545,9.0,17.278961
1436404063498,-36.90551329,174.89078085,9.0,17.029387
1436404064498,-36.90558239,174.89061745,9.0,16.530275
1436404065494,-36.90564064,174.89045767,9.0,15.781714
1436404066495,-36.90570295,174.89030582,9.0,15.282752
1436404067488,-36.90576513,174.890155,9.0,14.534442
1436404068493,-36.90582152,174.89002499,9.0,13.536986
1436404069512,-36.9058739,174.8899129,9.0,12.290749
1436404070494,-36.90592099,174.88980393,9.0,11.045361
1436404071495,-36.90596371,174.88970948,9.0,10.049875
1436404072506,-36.90600265,174.88962112,9.0,9.303897
1436404073497,-36.90604157,174.88953823,10.0,9.055386
1436404074503,-36.90608125,174.8894575,10.0,8.806957
1436404075492,-36.90612207,174.8893683,10.0,9.055386
1436404076492,-36.90616392,174.88927541,10.0,9.552486
1436404077496,-36.90620906,174.88917906,10.0,10.298665
1436404078496,-36.9062561,174.88906289,10.0,10.7964115
1436404079514,-36.90631016,174.88895145,10.0,11.543396
1436404080502,-36.90636157,174.88882653,10.0,12.539936
1436404081485,-36.90641593,174.8886898,10.0,13.536986
1436404082502,-36.90646862,174.88855009,10.0,14.285045
1436404083512,-36.90653471,174.88839792,10.0,15.033297
1436404084486,-36.9066024,174.88824083,10.0,15.781714
1436404085491,-36.90667609,174.88808851,10.0,16.28074
1436404086491,-36.9067373,174.88791196,10.0,16.530275
1436404087502,-36.90680953,174.88774838,10.0,16.779823
1436404088498,-36.9068793,174.88757821,10.0,17.278961
1436404089492,-36.90694248,174.88740478,10.0,17.778147
1436404090484,-36.90701085,174.88722515,10.0,18.027756
1436404091490,-36.90708554,174.88704533,10.0,17.778147
1436404092592,-36.90716278,174.88687493,10.0,17.778147
1436404093503,-36.90723574,174.88671014,10.0,17.778147
1436404094506,-36.90731548,174.88653263,10.0,17.778147
1436404095509,-36.90739248,174.88636475,10.0,17.528547
1436404096514,-36.90746894,174.8861888,10.0,17.528547
1436404097505,-36.90753722,174.88602246,10.0,17.528547
1436404098486,-36.90760358,174.88585183,10.0,17.029387
1436404099491,-36.90767316,174.8856826,10.0,16.779823
1436404100494,-36.90774441,174.8855222,10.0,16.779823
1436404101509,-36.90781143,174.8853632,10.0,16.779823
1436404102492,-36.90788591,174.88519477,10.0,16.779823
1436404103503,-36.90796449,174.8850396,10.0,16.530275
1436404104507,-36.90804052,174.88487285,10.0,17.029387
1436404105494,-36.90810868,174.88470184,10.0,17.029387
1436404106486,-36.9081714,174.88452944,10.0,17.278961
1436404107513,-36.9082394,174.88435196,10.0,17.528547
1436404108493,-36.90831735,174.8841762,10.0,17.778147
1436404109517,-36.90839262,174.8840061,10.0,17.778147
1436404110514,-36.90847493,174.88381628,9.0,18.027756
1436404111525,-36.90855948,174.88364029,9.0,18.027756
1436404112509,-36.90864282,174.88346632,9.0,18.027756
1436404113502,-36.90872795,174.88329267,9.0,18.027756
1436404114504,-36.90880279,174.88311301,9.0,18.027756
1436404115496,-36.90888402,174.88293029,9.0,18.277376
1436404116488,-36.90897304,174.88275361,9.0,18.527008
1436404117488,-36.90905332,174.88257202,9.0,18.527008
1436404118502,-36.90913183,174.88238185,9.0,18.527008
1436404119489,-36.90921122,174.88219339,9.0,18.527008
1436404120512,-36.90928694,174.88201221,9.0,18.527008
1436404121521,-36.90935505,174.88183454,9.0,18.527008
1436404122491,-36.90943528,174.88164615,9.0,18.527008
1436404123495,-36.90951581,174.8814504,9.0,18.527008
1436404124510,-36.90958944,174.88126444,10.0,18.527008
1436404125492,-36.90964926,174.88107821,9.0,18.527008
1436404126506,-36.90970502,174.88088501,10.0,18.527008
1436404127507,-36.90977682,174.88068779,9.0,19.026299
1436404128493,-36.9098373,174.88049436,10.0,19.026299
1436404129490,-36.9098778,174.88030037,9.0,18.527008
1436404130489,-36.90992948,174.88009975,9.0,18.277376
1436404131520,-36.90997029,174.87989267,9.0,18.027756
1436404132487,-36.91001764,174.87970615,9.0,17.778147
1436404133488,-36.91006833,174.87952227,9.0,17.528547
1436404134490,-36.91011224,174.87932637,9.0,17.278961
1436404135530,-36.91014988,174.87914585,10.0,17.029387
1436404136500,-36.91018998,174.87894899,9.0,17.029387
1436404137505,-36.91022351,174.87877219,9.0,17.029387
1436404138508,-36.91025719,174.87858848,10.0,17.278961
1436404139519,-36.9102899,174.87840741,9.0,17.029387
1436404140505,-36.91031905,174.87822356,10.0,17.029387
1436404141506,-36.91036093,174.87804217,9.0,16.779823
1436404142514,-36.91039187,174.8778517,10.0,17.029387
1436404143498,-36.91041732,174.87766639,9.0,17.029387
1436404144507,-36.91044158,174.87747524,9.0,16.779823
1436404145501,-36.91047245,174.87729356,10.0,17.029387
1436404146489,-36.91049746,174.87711048,9.0,17.029387
1436404147531,-36.91052406,174.8769166,10.0,17.029387
1436404148518,-36.91055423,174.87672441,10.0,17.029387
1436404149513,-36.91057583,174.87653302,10.0,17.278961
1436404150489,-36.91060466,174.8763347,11.0,17.778147
1436404153048,-36.91064488,174.8759755,10.0,17.278961
1436404153497,-36.91067027,174.8757877,10.0,17.528547
1436404154504,-36.91069835,174.87558789,10.0,17.278961
1436404155509,-36.91074251,174.87537203,9.0,17.528547
1436404156493,-36.91074465,174.87519816,10.0,17.278961
1436404157515,-36.91076393,174.87500749,10.0,17.528547
1436404158527,-36.91079557,174.87480405,10.0,17.778147
1436404159503,-36.91081929,174.87460925,10.0,18.027756
1436404160538,-36.91083896,174.87440778,10.0,18.277376
1436404161504,-36.91086522,174.87421948,10.0,18.027756
1436404162561,-36.9108823,174.87402079,10.0,18.027756
1436404163488,-36.91092443,174.87380633,11.0,18.277376
1436404164512,-36.91096025,174.87359609,11.0,18.527008
1436404165500,-36.91098873,174.87340552,11.0,18.027756
1436404166490,-36.9110166,174.8732057,11.0,17.778147
1436404167508,-36.91104006,174.87303205,10.0,16.530275
1436404168515,-36.91105968,174.87286394,10.0,15.532225
1436404169521,-36.91109135,174.8727566,9.0,14.783859
1436404170509,-36.91112909,174.87257738,9.0,15.532225
1436404171501,-36.9111782,174.87237535,9.0,16.28074
1436404173002,-36.91122504,174.87219011,9.0,16.779823
1436404173505,-36.91126702,174.87201089,9.0,17.278961
1436404174517,-36.9113169,174.87180856,9.0,18.027756
1436404175520,-36.91135382,174.87163392,9.0,17.528547
1436404176520,-36.91139276,174.87144117,9.0,17.528547
1436404177514,-36.91143191,174.87125838,9.0,17.528547
1436404178509,-36.9114755,174.87107152,9.0,17.278961
1436404179497,-36.91151581,174.87087563,9.0,16.779823
1436404180519,-36.9115569,174.87071167,9.0,16.530275
1436404181488,-36.91159569,174.87054549,10.0,16.03122
1436404182512,-36.91162815,174.87040482,10.0,14.534442
1436404183486,-36.91165853,174.87026056,10.0,14.035668
